settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-02-25,41,32730,33384,29648,2379,6562,0,16928,0,13,236,1843,888,565,-41,46,905,1399,801,40,0
2024-05-07,1,20679,22044,18675,552,6562,0,17193,0,11,-22,953,934,-95,-250,-509,399,1397,996,234,0
2024-06-04,3,19813,22212,18496,1105,6562,0,17193,0,71,2226,1395,977,-861,-302,-212,309,1399,997,-453,0
2024-08-25,27,16962,19533,15785,4540,6622,5244,17193,0,813,3427,0,486,816,-452,-529,838,-55,453,-222,0
2024-09-13,35,27380,28493,25001,759,6622,3162,16396,0,9,1711,999,-1,604,-352,-251,999,1397,997,993,0
2024-06-02,17,16963,19405,15348,724,6562,4648,17193,0,776,412,907,852,714,-398,-529,-239,1399,997,243,0
2024-04-16,32,24935,25806,22889,3242,6562,6700,17143,0,17,1601,1003,992,626,-301,0,999,617,997,-53,0
2024-10-02,43,30247,31738,27483,1501,6622,0,17194,0,8,68,981,-1,428,-452,-530,343,1397,0,902,0
2024-05-08,3,21023,22946,18972,357,6562,0,17193,0,108,-984,1004,991,-538,-250,-527,999,1399,995,99,0
2024-09-07,26,24944,26436,22688,624,6622,3211,16396,0,12,-234,1809,-1,1055,-452,-527,1019,1399,998,985,0
2024-11-01,27,32205,33797,29484,940,6622,1408,17194,0,9,966,2004,-1,960,-452,-530,240,1397,0,1423,0
2024-07-27,9,17759,19783,16194,495,6563,0,17193,0,12,-144,1259,991,0,-321,-99,823,1399,998,-1092,0
2024-07-24,33,26655,27894,24777,1906,6563,3438,17193,0,24,1898,1368,990,0,-451,-264,999,1397,998,1420,0
2024-04-13,21,22017,24021,20589,3237,6562,4802,17104,0,650,4604,331,691,568,-342,-424,848,-88,767,0,0
2024-08-21,7,16914,23035,16170,2865,6622,0,17193,0,856,2650,142,368,-1020,-330,-527,-1021,-775,175,-1092,0
2024-03-07,37,38561,39535,35394,2661,6562,0,17007,0,6,3006,1886,924,-10,-358,0,581,1369,900,164,0
2024-01-22,32,35287,36238,32857,5134,6488,535,16772,0,7,5026,1999,-1,377,-343,0,999,1397,997,1310,0
2024-08-01,5,20735,22990,18856,413,6563,0,17193,0,287,19,1258,992,0,-322,-482,995,1399,997,-664,0
2024-03-16,18,25675,26283,23033,535,6562,4387,17065,0,8,700,1999,992,1003,252,0,999,1399,997,1404,0
2024-02-16,47,25365,26956,22993,607,6562,0,16887,0,13,-83,1919,-4,1032,-446,-528,854,1399,965,1407,0
2024-11-03,24,29854,31446,27080,512,6622,1136,17194,0,8,-42,2004,-1,1003,-452,-531,1019,1397,0,992,0
2024-12-04,41,35262,39523,33128,5063,6622,0,17194,0,12,3675,-821,-620,-499,162,0,-902,894,0,-807,0
2024-05-01,8,20594,22122,18767,661,6562,0,17193,0,297,819,906,991,0,-402,-329,192,1399,995,966,0
2024-01-16,1,29370,32802,26753,851,6488,0,16758,0,936,1426,-174,-4,2,-379,-531,-563,-11,-234,537,0
2024-02-18,12,20209,22793,18754,1412,6562,0,16887,0,1069,3440,859,-4,656,-380,-531,412,1399,419,247,0
2024-03-23,7,19150,24441,18272,4093,6562,0,17081,0,1175,6039,336,611,-1016,-63,-18,-1021,-614,797,-784,0
2024-04-17,13,23563,26946,21837,2471,6562,31,17143,0,10,3754,343,541,-997,-306,0,-774,875,151,-796,0
2024-08-12,33,24541,25786,22625,1800,6563,6223,17193,0,12,1872,1001,988,-87,-226,-420,592,1397,998,0,0
2024-05-18,40,25235,28213,23078,600,6562,639,17193,0,6,-625,1002,992,-933,-452,-445,999,1399,996,-642,0
